Taxa_group,Phylum,Order,Family,Genus,Species,Final_ID,Primer_name
Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,nebulosus,Ameiurus_nebulosus,COIFish
Fish,Chordata,Siluriformes,Ictaluridae,Noturus,gyrinus,Noturus_gyrinus,COIFish
Turtle,Chordata,Testudines,Kinosternidae,Sternotherus,odoratus,Sternotherus_odoratus,COIFish
Fish,Chordata,Acanthuriformes,Sciaenidae,Aplodinotus,grunniens,Aplodinotus_grunniens,COIFishdegen
Fish,Chordata,Acipenseriformes,Acipenseridae,Acipenser,fulvescens,Acipenser_fulvescens,COIFishdegen
Fish,Chordata,Amiiformes,Amiidae,Amia,calva,Amia_calva,COIFishdegen
Fish,Chordata,Anguiliformes,Anguillidae,Anguilla,rostrata,Anguilla_rostrata,COIFishdegen
Bird,Chordata,Anseriformes,Anatidae,Anas,,Anas_sp,COIFishdegen
Mammal,Chordata,Artiodactyla,Suidae,Sus,scrofa,Sus_scrofa,COIFishdegen
Fish,Chordata,Cypriniformes,Catostomidae,Catostomus,commersonii,Catostomus_commersonii,COIFishdegen
Fish,Chordata,Cypriniformes,Catostomidae,Moxostoma,anisurum,Moxostoma_anisurum,COIFishdegen
Fish,Chordata,Cypriniformes,Leuciscidae,Chrosomus,eos,Chrosomus_eos,COIFishdegen
Fish,Chordata,Cypriniformes,Leuciscidae,Notemigonus,crysoleucas,Notemigonus_crysoleucas,COIFishdegen
Fish,Chordata,Cypriniformes,Leuciscidae,Notropis,heterodon,Notropis_heterodon,COIFishdegen
Fish,Chordata,Cypriniformes,Leuciscidae,Pimephales,notatus,Pimephales_notatus,COIFishdegen
Fish,Chordata,Cypriniformes,Leuciscidae,Pimephales,promelas,Pimephales_promelas,COIFishdegen
Fish,Chordata,Cypriniformes,Leuciscidae,Semotilus,atromaculatus,Semotilus_atromaculatus,COIFishdegen
